Date,Feature 0,Feature 1
1959-01-01,35.0,20.835501727036185
1959-01-02,32.0,19.059136975735985
1959-01-03,30.0,21.119310152135483
1959-01-04,31.0,12.945256185062945
1959-01-05,44.0,29.281085140461208
1959-01-06,29.0,17.45321366346135
1959-01-07,45.0,20.531653877371266
1959-01-08,43.0,20.680676080511795
1959-01-09,38.0,23.199382785214024
1959-01-10,27.0,17.644975468576767
1959-01-11,38.0,23.21922830859579
1959-01-12,33.0,32.33710493903455
1959-01-13,55.0,10.540954882560946
1959-01-14,47.0,16.754320964276936
1959-01-15,45.0,10.785633247233
1959-01-16,37.0,23.306189673382484
1959-01-17,50.0,12.828844902407344
1959-01-18,43.0,25.924371564907016
1959-01-19,41.0,16.944716500564997
1959-01-20,52.0,27.89036170504706
1959-01-21,34.0,25.75014348678772
1959-01-22,53.0,20.160255969403345
1959-01-23,39.0,17.12033110901343
1959-01-24,32.0,23.155316793608748
1959-01-25,37.0,20.209383632301144
1959-01-26,43.0,20.336227089807615
1959-01-27,39.0,12.332383871324874
1959-01-28,35.0,25.70012657734548
1959-01-29,44.0,8.930512194248983
1959-01-30,38.0,12.465519082807978
1959-01-31,24.0,12.54873293669382
1959-02-01,23.0,28.318253662479417
1959-02-02,31.0,17.477078859603985
1959-02-03,44.0,20.963917416519827
1959-02-04,38.0,19.91128131545577
1959-02-05,50.0,24.60664471317338
1959-02-06,38.0,16.77881754855514
1959-02-07,51.0,20.76869507720173
1959-02-08,31.0,22.1517447156965
1959-02-09,31.0,19.954139894137477
1959-02-10,51.0,25.018204085460923
1959-02-11,36.0,22.761924452091606
1959-02-12,45.0,19.76605503682941
1959-02-13,51.0,18.884957013328403
1959-02-14,34.0,16.855419046638975
1959-02-15,52.0,20.393931582271232
1959-02-16,47.0,12.583328194773145
1959-02-17,45.0,18.070677898164284
1959-02-18,46.0,18.86192200621991
1959-02-19,39.0,22.42671442179852
1959-02-20,48.0,21.193964522054483
1959-02-21,37.0,15.749335941405633
1959-02-22,35.0,28.296971860230848
1959-02-23,52.0,26.553632096086847
1959-02-24,42.0,17.886071075757698
1959-02-25,45.0,17.74320869870218
1959-02-26,39.0,9.270687972211181
1959-02-27,37.0,21.747178359576512
1959-02-28,30.0,13.698969492803844
1959-03-01,35.0,14.982288426683816
1959-03-02,28.0,18.13515671822819
1959-03-03,45.0,24.43433607497198
1959-03-04,34.0,23.328586638771526
1959-03-05,36.0,20.009666235093356
1959-03-06,50.0,12.200942503176329
1959-03-07,44.0,16.4855493989434
1959-03-08,39.0,13.119075789975575
1959-03-09,32.0,18.49135541316485
1959-03-10,39.0,14.761030428660765
1959-03-11,45.0,22.288310825393527
1959-03-12,43.0,24.110116948403345
1959-03-13,39.0,17.18622890088645
1959-03-14,31.0,21.026839206538753
1959-03-15,27.0,20.63103142578357
1959-03-16,30.0,16.970560206542846
1959-03-17,42.0,24.05463961973403
1959-03-18,46.0,24.005952394548533
1959-03-19,41.0,5.803449971630881
1959-03-20,36.0,18.334146210843738
1959-03-21,45.0,21.074652442785265
1959-03-22,46.0,16.15547134459422
1959-03-23,43.0,19.233431761824257
1959-03-24,38.0,21.398979774623562
1959-03-25,34.0,17.096428813827185
1959-03-26,35.0,16.21138079080529
1959-03-27,56.0,22.756598760203683
1959-03-28,36.0,15.819946631966022
1959-03-29,32.0,21.58372381657187
1959-03-30,50.0,26.361827940367146
1959-03-31,41.0,18.325917018202865
1959-04-01,39.0,13.393620804720085
1959-04-02,41.0,20.00489242620598
1959-04-03,47.0,26.22118359631925
1959-04-04,34.0,8.078725065326097
1959-04-05,36.0,12.77280295937107
1959-04-06,33.0,18.148873411090694
1959-04-07,35.0,18.897360245168393
1959-04-08,38.0,23.517445905732593
1959-04-09,38.0,23.24625309593858
1959-04-10,34.0,24.94499788185282
1959-04-11,90.0,0.52941455890677
1959-04-12,34.0,29.79729886645327
1959-04-13,68.0,-5.989635514077555
1959-04-14,38.0,17.01048178667468
1959-04-15,35.0,18.12420157457012
1959-04-16,64.0,32.949216834476
1959-04-17,42.0,19.250785938847635
1959-04-18,34.0,15.893859921242274
1959-04-19,46.0,27.471111735671677
1959-04-20,30.0,24.418568845273136
1959-04-21,46.0,18.169713783767246
1959-04-22,45.0,15.176284820356162
1959-04-23,54.0,22.70978135043641
1959-04-24,34.0,15.874547201783466
1959-04-25,37.0,22.253724443414804
1959-04-26,35.0,26.417087134553476
1959-04-27,40.0,21.471787875919414
1959-04-28,42.0,20.116557779993922
1959-04-29,58.0,24.078008302743985
1959-04-30,51.0,17.16499190185516
1959-05-01,32.0,17.366599139080897
1959-05-02,35.0,23.848095300266024
1959-05-03,38.0,15.086086958742762
1959-05-04,33.0,23.918523244262808
1959-05-05,39.0,24.10223020169712
1959-05-06,47.0,20.460155096979765
1959-05-07,38.0,16.6065218909107
1959-05-08,52.0,22.78449082322308
1959-05-09,30.0,14.890075073324379
1959-05-10,34.0,15.866188209898723
1959-05-11,40.0,30.17387210585521
1959-05-12,35.0,15.883832919706652
1959-05-13,42.0,25.275406696876402
1959-05-14,41.0,21.561501247314858
1959-05-15,42.0,22.613726218818318
1959-05-16,38.0,19.30409682906272
1959-05-17,24.0,14.784491960655984
1959-05-18,34.0,21.419481420734897
1959-05-19,43.0,14.885349055849467
1959-05-20,36.0,14.835018404500868
1959-05-21,55.0,21.01666479983712
1959-05-22,41.0,13.441062295204329
1959-05-23,45.0,17.786513932673103
1959-05-24,41.0,24.500433322436415
1959-05-25,37.0,21.061510596284087
1959-05-26,43.0,18.379120869326307
1959-05-27,39.0,14.38762950498131
1959-05-28,33.0,16.727794888500767
1959-05-29,43.0,13.316976546663858
1959-05-30,40.0,24.555224079476798
1959-05-31,38.0,22.454251641249765
1959-06-01,45.0,7.586989891564864
1959-06-02,46.0,26.110820107918386
1959-06-03,34.0,14.977369459161345
1959-06-04,35.0,17.757486247988894
1959-06-05,48.0,24.103740286404207
