Date,Feature 0,Feature 1
1959-01-01,35,20.835501727036185
1959-01-02,32,19.059136975735985
1959-01-03,30,21.119310152135483
1959-01-04,31,12.945256185062945
1959-01-05,44,29.281085140461208
1959-01-06,29,17.45321366346135
1959-01-07,45,20.531653877371266
1959-01-08,43,20.680676080511795
1959-01-09,38,23.199382785214024
1959-01-10,27,17.644975468576767
1959-01-11,38,23.21922830859579
1959-01-12,33,32.33710493903455
1959-01-13,55,10.540954882560946
1959-01-14,47,16.754320964276936
1959-01-15,45,10.785633247233
1959-01-16,37,23.306189673382484
1959-01-17,50,12.828844902407344
1959-01-18,43,25.924371564907016
1959-01-19,41,16.944716500564997
1959-01-20,52,27.89036170504706
1959-01-21,34,25.75014348678772
1959-01-22,53,20.160255969403345
1959-01-23,39,17.12033110901343
1959-01-24,32,23.155316793608748
1959-01-25,37,20.209383632301144
1959-01-26,43,20.336227089807615
1959-01-27,39,12.332383871324874
1959-01-28,35,25.70012657734548
1959-01-29,44,8.930512194248983
1959-01-30,38,12.465519082807978
1959-01-31,24,12.54873293669382
1959-02-01,23,28.318253662479417
1959-02-02,31,17.477078859603985
1959-02-03,44,20.963917416519827
1959-02-04,38,19.91128131545577
1959-02-05,50,24.60664471317338
1959-02-06,38,16.77881754855514
1959-02-07,51,20.76869507720173
1959-02-08,31,22.1517447156965
1959-02-09,31,19.954139894137477
1959-02-10,51,25.018204085460923
1959-02-11,36,22.761924452091606
1959-02-12,45,19.76605503682941
1959-02-13,51,18.884957013328403
1959-02-14,34,16.855419046638975
1959-02-15,52,20.393931582271232
1959-02-16,47,12.583328194773145
1959-02-17,45,18.070677898164284
1959-02-18,46,18.86192200621991
1959-02-19,39,22.42671442179852
1959-02-20,48,21.193964522054483
1959-02-21,37,15.749335941405633
1959-02-22,35,28.296971860230848
1959-02-23,52,26.553632096086847
1959-02-24,42,17.886071075757698
1959-02-25,45,17.74320869870218
1959-02-26,39,9.270687972211181
1959-02-27,37,21.747178359576512
1959-02-28,30,13.698969492803844
1959-03-01,35,14.982288426683816
1959-03-02,28,18.13515671822819
1959-03-03,45,24.43433607497198
1959-03-04,34,23.328586638771526
1959-03-05,36,20.009666235093356
1959-03-06,50,12.200942503176329
1959-03-07,44,16.4855493989434
1959-03-08,39,13.119075789975575
1959-03-09,32,18.49135541316485
1959-03-10,39,14.761030428660765
1959-03-11,45,22.288310825393527
1959-03-12,43,24.110116948403345
1959-03-13,39,17.18622890088645
1959-03-14,31,21.026839206538753
1959-03-15,27,20.63103142578357
1959-03-16,30,16.970560206542846
1959-03-17,42,24.05463961973403
1959-03-18,46,24.005952394548533
1959-03-19,41,5.803449971630881
1959-03-20,36,18.334146210843738
1959-03-21,45,21.074652442785265
1959-03-22,46,16.15547134459422
1959-03-23,43,19.233431761824257
1959-03-24,38,21.398979774623562
1959-03-25,34,17.096428813827185
1959-03-26,35,16.21138079080529
1959-03-27,56,22.756598760203683
1959-03-28,36,15.819946631966022
1959-03-29,32,21.58372381657187
1959-03-30,50,26.361827940367146
1959-03-31,41,18.325917018202865
1959-04-01,39,13.393620804720085
1959-04-02,41,20.00489242620598
1959-04-03,47,26.22118359631925
