,0
2019-06-19,-1.257133757
2019-06-20,-1.978576382
2019-06-21,-1.345461051
2019-06-22,-2.325025043
2019-06-23,-2.86088655
2019-06-24,-1.804167562
2019-06-25,-1.43376981
2019-06-26,-1.848640446
2019-06-27,-2.531622277
2019-06-28,-1.150807057
2019-06-29,-1.476416537
2019-06-30,-1.160879521
2019-07-01,-1.97150166
2019-07-02,-1.023210949
2019-07-03,-2.7452572
2019-07-04,-1.688042432
2019-07-05,-1.431764035
2019-07-06,-1.747326065
2019-07-07,-0.988948573
2019-07-08,-1.347568331
2019-07-09,-1.404916796
2019-07-10,-0.804948469
2019-07-11,-0.689883196
2019-07-12,-1.07327358
2019-07-13,-1.80342217
2019-07-14,0.188405916
2019-07-15,-1.788495278
2019-07-16,-1.660172751
2019-07-17,-1.181199367
2019-07-18,-1.463673874
2019-07-19,-0.33668705
2019-07-20,-0.161383767
2019-07-21,-0.632996254
2019-07-22,-1.604016768
2019-07-23,-1.682817492
2019-07-24,-1.22786537
2019-07-25,-0.755243394
2019-07-26,-1.087802808
2019-07-27,-1.202907939
2019-07-28,-1.411707013
2019-07-29,-0.109559434
2019-07-30,-1.227955225
2019-07-31,0.133100641
2019-08-01,-0.967264333
2019-08-02,-1.434433021
2019-08-03,-0.848342547
2019-08-04,-0.353609433
2019-08-05,-0.209642703
2019-08-06,-1.294887774
2019-08-07,0.18823721
2019-08-08,-0.534110618
2019-08-09,-0.617812301
2019-08-10,-0.789162462
2019-08-11,0.043081439
2019-08-12,-0.252986639
2019-08-13,-0.446374732
2019-08-14,-0.191431255
2019-08-15,-0.34708479
2019-08-16,0.72593362
2019-08-17,-0.427005554
2019-08-18,-0.751050841
2019-08-19,-0.52874106
2019-08-20,-0.315044941
2019-08-21,0.154405818
2019-08-22,0.094214327
2019-08-23,0.37915909
2019-08-24,-0.047616735
2019-08-25,0.10319395
2019-08-26,-0.149366543
2019-08-27,0.404467517
2019-08-28,-0.302241955
2019-08-29,0.679298729
2019-08-30,-0.279846508
2019-08-31,0.271264869
2019-09-01,-1.030952262
2019-09-02,0.220677455
2019-09-03,-0.663026884
2019-09-04,0.853805196
2019-09-05,-0.067007264
2019-09-06,0.471303093
2019-09-07,0.960234935
2019-09-08,0.516973127
2019-09-09,1.269485631
2019-09-10,0.948110239
2019-09-11,0.909404316
2019-09-12,0.489203852
2019-09-13,1.214822787
2019-09-14,1.806414644
2019-09-15,0.818491853
2019-09-16,0.669226298
2019-09-17,1.194394799
2019-09-18,1.104537715
2019-09-19,1.013273185
2019-09-20,2.304444858
2019-09-21,1.026470994
2019-09-22,1.275991164
2019-09-23,0.845071709
2019-09-24,0.788926857
2019-09-25,1.112425225
2019-09-26,0.661182373
2019-09-27,0.92809856
2019-09-28,0.635912581
2019-09-29,0.059973955
2019-09-30,0.564807925
2019-10-01,0.918832473
2019-10-02,1.315346996
2019-10-03,1.311577046
2019-10-04,0.235196463
2019-10-05,0.75511161
2019-10-06,0.357113177
2019-10-07,-0.355267192
2019-10-08,0.523683634
2019-10-09,0.488635721
2019-10-10,0.71398296
2019-10-11,0.288343543
2019-10-12,-0.019562082
2019-10-13,-0.213812168
2019-10-14,1.605765779
2019-10-15,0.976893638
2019-10-16,0.099234982
2019-10-17,0.45281912
2019-10-18,0.652966166
2019-10-19,0.92596958
2019-10-20,0.745435102
2019-10-21,0.186487252
2019-10-22,-0.500593767
2019-10-23,0.069530893
2019-10-24,-0.048574963
2019-10-25,-0.187921523
2019-10-26,0.825103433
2019-10-27,0.617605363
2019-10-28,0.135991644
2019-10-29,-0.536789748
2019-10-30,-0.093583717
2019-10-31,-0.583721569
2019-11-01,-0.114729967
2019-11-02,-0.384221681
2019-11-03,0.677950524
2019-11-04,-0.337178607
2019-11-05,-1.22079922
2019-11-06,-0.064001363
2019-11-07,0.307151106
2019-11-08,-0.012590849
2019-11-09,-0.840121889
2019-11-10,-1.022790968
2019-11-11,0.769051892
2019-11-12,-0.431077855
2019-11-13,-1.044729361
2019-11-14,-0.564580025
2019-11-15,-0.608343332
2019-11-16,-0.123776984
2019-11-17,-0.326337695
2019-11-18,-0.220720853
2019-11-19,-0.830388764
2019-11-20,-0.15292968
2019-11-21,-0.601460786
2019-11-22,-0.805467172
2019-11-23,-0.704642652
2019-11-24,0.745016623
2019-11-25,-0.814612402
2019-11-26,-0.917802259
2019-11-27,-1.094194318
