,0,1
2019-06-19,5.810200620643565,-14.445232492451307
2019-06-20,4.496821365295059,-16.165909372739396
2019-06-21,5.021188179712897,-14.381244909147778
2019-06-22,5.201168681002554,-13.69748835751294
2019-06-23,4.998686627013757,-15.129334503969515
2019-06-24,4.357416040600825,-14.646484561950349
2019-06-25,3.878968685171714,-14.883830569119935
2019-06-26,5.493800999829738,-15.02255608248342
2019-06-27,5.635157893976384,-16.105856436192962
2019-06-28,6.9449014536128955,-15.446359570535959
2019-06-29,4.170542167733379,-14.902169364718313
2019-06-30,7.041337656682714,-16.264990350659126
2019-07-01,6.366444270999207,-15.192266551582282
2019-07-02,5.263871087930359,-15.062783104182913
2019-07-03,6.8854201594523685,-15.138917708486995
2019-07-04,5.269539881539156,-15.981081192320444
2019-07-05,6.494167689157109,-16.85390272744516
2019-07-06,6.613847387920202,-15.794229150410409
2019-07-07,7.113929551795827,-17.322714670187878
2019-07-08,6.4985997678829905,-16.185886331797477
2019-07-09,6.940991408835547,-16.37223904694609
2019-07-10,5.696413354355617,-16.81388968566464
2019-07-11,7.069722338848402,-16.02782528429927
2019-07-12,5.7542348104659675,-18.5842800112568
2019-07-13,5.168230073627506,-16.463398096511206
2019-07-14,6.99483043155179,-17.87976997571049
2019-07-15,5.898610315629014,-15.497607464434873
2019-07-16,4.827713606021777,-15.618776941371404
2019-07-17,6.116762045024733,-17.386125077182115
2019-07-18,5.328621538435574,-15.04642775406177
2019-07-19,4.47634385979784,-16.932437391906788
2019-07-20,4.805225422027229,-15.292707490207011
2019-07-21,5.300444883696539,-16.489763119207403
2019-07-22,6.982673762998412,-17.383596152693602
2019-07-23,7.7269977985590765,-18.416543167412314
2019-07-24,6.776775437465593,-16.906522688026634
2019-07-25,6.459480354501914,-17.868616874983427
2019-07-26,4.348547117680431,-18.298597918784175
2019-07-27,6.796226393712585,-17.679416654215057
2019-07-28,9.028371049639288,-16.811898930221776
2019-07-29,5.394297864918934,-17.729828438539972
2019-07-30,7.348888054400458,-15.925832949189589
2019-07-31,6.085805939827695,-17.8598008705437
2019-08-01,5.400504747437829,-17.766918507796284
2019-08-02,4.400305878452551,-18.404921705439683
2019-08-03,6.443586002664077,-17.894279363413126
2019-08-04,5.6214763465970785,-18.080080183137937
2019-08-05,7.49140553276218,-17.213718160324085
2019-08-06,6.3023839575634355,-17.82405788199305
2019-08-07,5.460450593119571,-19.044531096212793
2019-08-08,6.202909339571116,-19.262020523485695
2019-08-09,4.646999565090634,-18.795334700027066
2019-08-10,6.351936227715293,-18.905379092123777
2019-08-11,7.394975407028004,-20.02583493574231
2019-08-12,8.09766487132455,-16.67289463396513
2019-08-13,7.507062100163545,-19.45352383405082
2019-08-14,6.506361376573093,-17.474800692229465
2019-08-15,7.035364335914408,-18.098344674554873
2019-08-16,6.072787895965046,-19.438740700926537
2019-08-17,7.975873699872364,-19.00046030914594
2019-08-18,7.043890206118941,-20.383852914150772
2019-08-19,7.717113429295502,-18.309402475065756
2019-08-20,7.415793282456613,-20.0483947054367
2019-08-21,6.612518310713157,-16.975934235793435
2019-08-22,6.73555339593338,-17.826658836503753
2019-08-23,6.813790558553885,-18.657009377508345
2019-08-24,6.123892706708155,-18.872912673999966
2019-08-25,5.853920467533985,-18.28259428491067
2019-08-26,7.065721422294373,-17.595022467938815
2019-08-27,8.114974656123907,-20.034504589373153
2019-08-28,8.704018285869184,-21.004590694146227
2019-08-29,6.959527632622862,-18.723433897881954
2019-08-30,7.217031108963006,-18.557721472362108
2019-08-31,7.803904622425596,-19.419012971918967
2019-09-01,8.913551445574107,-17.381743408349344
2019-09-02,8.797724468584054,-18.270108544594006
