,0,1
2019-06-19,1.703423733187889,-9.674139312938443
2019-06-20,2.015740273413486,-8.657846588508528
2019-06-21,1.988963809689094,-9.06282179384299
2019-06-22,1.9633809725997258,-9.594101707514564
2019-06-23,2.6447636723436267,-8.896965500117807
2019-06-24,1.2417883892632717,-9.674663524081442
2019-06-25,2.5338882820898982,-8.81063469524853
2019-06-26,2.5761129187712024,-9.370196072158855
2019-06-27,1.9088003057243923,-10.027857792593949
2019-06-28,1.550215401313415,-8.673618467332988
2019-06-29,2.1990186957677507,-9.740726320176059
2019-06-30,1.9363559580214846,-9.793774920941422
2019-07-01,2.80393728827275,-9.387112961446785
2019-07-02,3.4973360020747553,-10.914343020552062
2019-07-03,3.0713703975183204,-10.34968840374736
2019-07-04,2.9864803016430574,-11.372295916130168
2019-07-05,2.4301512804009713,-10.160586227611688
2019-07-06,3.1788490016960913,-10.354568998305744
2019-07-07,3.0733224755510298,-10.260475482691426
2019-07-08,3.2299264763362316,-11.327064494636613
2019-07-09,2.5627980524107232,-10.441822485323463
2019-07-10,3.0175528438539074,-10.39639351045811
2019-07-11,2.14316075798663,-10.139117886100971
2019-07-12,3.8045738722390485,-11.036308371092298
2019-07-13,2.4932531263542606,-10.689518968496012
2019-07-14,2.5279071907209265,-11.606630084387861
2019-07-15,2.3991480490263837,-9.318940282284153
2019-07-16,3.537272065709085,-10.563405595030623
2019-07-17,1.6571617693792882,-10.82708156353066
2019-07-18,2.9995741080351443,-11.694634277594556
2019-07-19,2.0595099894901017,-11.045135222218903
2019-07-20,2.3180356019786323,-10.30498726598951
2019-07-21,2.78262092066935,-9.943099086856986
2019-07-22,2.150489419328229,-10.312937788881193
2019-07-23,3.051112099552136,-10.25398060568107
2019-07-24,4.043372751130411,-10.923768775718278
2019-07-25,2.7137956312507603,-11.621489516765102
2019-07-26,2.3112612307530798,-12.46194835750352
2019-07-27,3.41560248717179,-11.215247824475531
2019-07-28,3.232629382981133,-11.826720831980042
2019-07-29,3.1852987649770896,-11.614246566608122
2019-07-30,2.8614162205289424,-11.245785912518649
2019-07-31,3.5393717990917755,-11.386396607656087
2019-08-01,3.0254935751861347,-11.361915008660059
2019-08-02,3.1214076337854153,-10.76515056322449
2019-08-03,2.8657157017968453,-12.643680028590596
2019-08-04,3.538250407831579,-12.662949898609517
2019-08-05,4.084542218224712,-11.175085223681034
2019-08-06,2.3353034031092017,-11.775555660365049
2019-08-07,2.212543043569898,-12.46868286399481
2019-08-08,2.8888160447059805,-12.315750375971474
2019-08-09,2.9227748411905794,-11.712068167517291
2019-08-10,3.7006962372148013,-12.089399854983085
2019-08-11,3.1222236012067763,-13.030190189367206
2019-08-12,3.6358188913513994,-12.009591536849124
2019-08-13,3.500757390516513,-10.953639342832393
2019-08-14,3.6558271223535153,-11.72025775899275
2019-08-15,3.906438925670541,-12.834219643941022
2019-08-16,4.040125787108117,-12.427139012540907
2019-08-17,3.412105695718451,-12.848975192238097
2019-08-18,4.325731403072832,-12.677482583257499
2019-08-19,3.340657678151761,-11.77651174784422
2019-08-20,4.528411984986262,-12.62330536052909
2019-08-21,4.106480890433011,-12.59268050791329
2019-08-22,3.4738442124964686,-12.981393881976812
2019-08-23,4.4659650892123794,-13.943869801385883
2019-08-24,4.03294579764345,-13.082399100808813
2019-08-25,2.92012580155796,-12.918811518615785
2019-08-26,3.764397193765078,-13.4165749529513
2019-08-27,4.376895399246422,-13.466761004871042
2019-08-28,3.992227621769305,-12.714985897580664
2019-08-29,4.454837298556542,-13.213162645711988
2019-08-30,4.848231339371237,-13.205843313547755
2019-08-31,4.6010504570700625,-12.835087927952337
2019-09-01,4.370109579818038,-14.042284521482445
2019-09-02,4.566188367601778,-14.730127738868818
2019-09-03,5.31599340510313,-13.14125165278869
2019-09-04,4.11470672163693,-14.40644494031267
2019-09-05,5.220081804620672,-13.612020176622384
2019-09-06,4.262828258592816,-13.58170688697761
2019-09-07,3.525856157103238,-13.853369367584884
2019-09-08,5.423349138357206,-14.564896596600878
2019-09-09,3.3118050369567067,-14.292913239275993
2019-09-10,4.48279428071476,-14.585534101011268
2019-09-11,3.8128140008541704,-14.555824203546676
2019-09-12,4.472945747704983,-14.359603557977602
2019-09-13,3.7128340973653415,-15.015012849397024
2019-09-14,4.051139803011032,-14.398717027116032
2019-09-15,4.615281697561871,-13.856345030561661
2019-09-16,4.873647690949695,-14.332067420849752
2019-09-17,5.386999566297546,-14.000363554480055
2019-09-18,4.582913314190288,-13.772619874842118
2019-09-19,4.689674057435819,-14.77461638406772
2019-09-20,4.686363984616979,-14.516237727271443
2019-09-21,5.428212339429616,-14.776527968128914
2019-09-22,5.322706213314314,-14.160777882949231
2019-09-23,4.446524187138001,-15.386533687949356
2019-09-24,5.1484576755767035,-13.959569818282427
2019-09-25,4.376607345735551,-15.585277702743927
2019-09-26,4.860226945312937,-15.515333555509454
2019-09-27,5.251918894753409,-15.567924793998536
2019-09-28,4.124791455303504,-15.143312665862172
2019-09-29,4.948065760682187,-14.600560190645535
2019-09-30,5.471529475124995,-14.436716299711023
2019-10-01,4.849920708701397,-15.867903450436977
2019-10-02,4.858143450466261,-14.289612977540813
2019-10-03,4.922736332823148,-15.428230206679885
2019-10-04,3.036771624135362,-14.677087685336412
2019-10-05,4.757530408287902,-14.370121359871824
2019-10-06,4.960313084445417,-14.91781007446458
2019-10-07,6.100578674544375,-14.03643335590292
2019-10-08,4.173980643514764,-13.18074165554028
2019-10-09,4.238923559473589,-14.070532498762109
2019-10-10,4.737536404414189,-14.396966430133359
2019-10-11,5.112414617857112,-13.902575823429292
