,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032880892255892115,0.13152356902356935,0.26962331649831717,0.3945707070707054,0.6247369528619544,0.5425347222222237,0.47348484848484645,0.9535458754208778,0.3090803872053859,0.05589751683501697,0.0,0.0
2011-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029559812168507695,0.14779906084253946,0.1083859779511956,0.3617557965384037,0.15061428104906405,0.1590599416686377,0.5968266837832029,1.9382791121921605,0.24210893776111064,0.05067396371744211,0.0028152202065245616,0.0
2011-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383146388738845,0.03971910647898075,0.035747195831082434,0.27803374535286524,0.5150244140107837,0.6659570186309061,0.5693071928653907,0.48457309904356516,0.44485399256458136,0.6103502695603374,0.12048128965290744,0.0,0.0,0.0
2011-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11690983913206165,0.09352787130564869,0.0,0.35072951739618496,0.09352787130564869,0.5377852600074836,2.5953984287317513,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780466109233242,0.13194567989088482,0.5944968273735411,1.3075965130759684,1.2838759414101826,0.07116171499733161,0.020755500207554914,0.0,0.0,0.0
2011-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000725925409712303,0.010162955735972173,0.025407389339930607,0.017422209833095274,0.04791107704101168,0.24536278848275841,0.5095996376180367,0.6533328687410683,0.7324587383997138,0.41885896140399886,0.6177625236651657,0.45805893352846316,0.050814778679860874,0.0,0.0,0.0
2011-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4635515999152374,1.2449671540580578,0.26488662852299283,0.19866497139224462,0.9403475312566182,0.662216571307482,0.013244331426149551,0.0,0.0,0.0
2011-08-16,0.0008556310792588181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009411941871847023,0.06502796202366991,0.13262281728511716,0.4757308800679041,0.6083536973530171,0.580973502816739,0.5441813664086097,0.6750929215352046,0.5818291338959978,0.11379893354142233,0.0,0.0,0.0
2011-08-21,0.000717469227744822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003587346138724119,0.002152407683234457,0.0017936730693620597,0.001434938455489638,0.0021524076832344714,0.008968365346810298,0.04053701136758227,0.1772148992529715,0.45057067502374937,0.5416892669473383,0.6776496856049861,0.5822262783149245,0.47352969031158054,0.6640177702778344,0.15102727244028438,0.011838242257789592,0.0,0.0
2011-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002898886827458263,0.011595547309833053,0.06957328385899784,0.09566326530612268,0.24350649350649411,1.2764764996907798,0.9189471243042694,0.4097093382807679,0.3208101422387123,0.31501236858379794,0.12368583797155172,0.0,0.0,0.0
